-180,90,0
-180,90,0
-180,90,0
-180,90,0
-180,90,0
73.5,0.8,-122.9
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
73.5,0.8,-121.2
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
73.5,0.8,-121.2
75.5,0.8,-121.2
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
73.5,0.8,-121.2
75.5,0.8,-121.2
113.7,0.7,-82.9
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
73.5,0.8,-121.2
75.5,0.8,-121.2
113.7,0.7,-82.9
113.2,0.7,-82.9
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
73.5,0.8,-121.2
75.5,0.8,-121.2
113.7,0.7,-82.9
113.2,0.7,-82.9
-168.7,4.8,-4.4
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
73.5,0.8,-121.2
75.5,0.8,-121.2
113.7,0.7,-82.9
113.2,0.7,-82.9
-168.7,4.8,-4.4
-163.7,4.8,-4.4
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
73.5,0.8,-121.2
75.5,0.8,-121.2
113.7,0.7,-82.9
113.2,0.7,-82.9
-168.7,4.8,-4.4
-163.7,4.8,-4.4
-145,5.2,14.3
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
73.5,0.8,-121.2
75.5,0.8,-121.2
113.7,0.7,-82.9
113.2,0.7,-82.9
-168.7,4.8,-4.4
-163.7,4.8,-4.4
-145,5.2,14.3
-141.2,5.2,14.3
-180,90,0
-180,90,0
73.5,0.8,-122.9
73.8,0.8,-122.6
73.8,0.8,-122.6
72.3,0.8,-124.1
70.6,0.8,-124.1
